elo region winPercent totalGames winStreak
1956 "Europe" 82.48 137 13
1938 "Europe" 66.55 290 3
1908 "Europe" 85.11 94 23
1900 "Europe" 77.6 250 4
1888 "Europe" 84.93 73 -1
1884 "Europe" 79.05 148 -1
1875 "Europe" 84.88 86 2
1868 "Europe" 75.16 157 -1
1852 "Asia" 69.52 105 -1
1836 "Europe" 57.33 525 10
1828 "Europe" 86.89 61 15
1824 "Europe" 82.81 64 1
1822 "Asia" 56.89 450 7
1799 "Europe" 85.53 76 7
1791 "Europe" 76.23 122 3
1789 "Europe" 86.44 59 -1
1787 "Oceania" 71.23 146 6
1778 "Europe" 100 29 29
1771 "Europe" 66.67 168 3
1768 "Oceania" 67.62 105 -2
1765 "Europe" 66.96 112 7
1759 "Europe" 89.74 39 13
1756 "Oceania" 66 150 9
1753 "Europe" 67.35 98 1
1750 "Europe" 69.82 169 5
1748 "Oceania" 58.87 231 3
1745 "North America" 59.94 322 2
1743 "Europe" 69.62 79 1
1740 "Europe" 63.91 133 1
1740 "Europe" 54.52 409 1
1739 "Europe" 59.09 242 2
1736 "Asia" 62.24 143 1
1733 "Europe" 60.29 272 5
1726 "North America" 59.68 186 3
1725 "Europe" 76.04 96 2
1723 "Oceania" 74.73 91 1
1722 "South America" 62.09 277 -1
1721 "Europe" 67.9 81 4
1716 "Europe" 67.52 117 4
1716 "Europe" 96.43 28 18
1715 "Asia" 56.47 278 -1
1712 "Oceania" 62.96 135 6
1710 "Asia" 56 500 5
1709 "Asia" 75.44 57 4
1709 "Europe" 60.13 153 1
1709 "Europe" 77.55 49 6
1709 "Asia" 56.82 396 1
1709 "Europe" 54.7 532 3
1709 "Europe" 75 56 1
1707 "Europe" 77.5 80 4
1705 "Asia" 56.16 463 4
1704 "North America" 62.28 114 1
1704 "Oceania" 60.54 185 1
1702 "Europe" 56.32 348 1
1701 "Europe" 60.31 131 4
1700 "North America" 55.42 590 4
1698 "Europe" 57.14 161 4
1692 "North America" 63.46 156 1
1690 "Europe" 70.09 107 2
1689 "Asia" 61.09 239 -1
1688 "Europe" 92.59 27 8
1686 "Europe" 59.16 191 1
1684 "Europe" 61.79 123 6
1683 "Europe" 64.56 237 1
1681 "Oceania" 66.38 116 5
1679 "Oceania" 61.83 317 -3
1677 "Europe" 81.4 43 8
1676 "Asia" 67.42 89 6
1673 "Europe" 57.92 202 2
1672 "Asia" 59.89 182 5
1672 "Europe" 52.69 427 4
1671 "Europe" 58.02 243 2
1669 "South America" 55.52 308 4
1664 "North America" 69.92 123 6
1664 "North America" 61.48 122 1
1663 "Europe" 55.36 224 4
1661 "Europe" 62.5 80 4
1657 "Asia" 76.09 46 -1
1656 "Europe" 54.42 430 1
1656 "Europe" 54.29 420 2
1655 "Europe" 78.26 46 1
1654 "North America" 57.29 398 -3
1654 "Europe" 71.74 46 2
1653 "Asia" 57.67 189 2
1652 "Asia" 57.52 452 3
1651 "Europe" 72.22 54 4
1651 "Europe" 74.47 47 -1
1651 "Europe" 63.93 122 3
1649 "Asia" 53.35 508 1
1647 "Europe" 73.77 61 3
1647 "Asia" 58.52 229 3
1646 "Europe" 57.49 207 -3
1645 "Europe" 64.71 85 2
1641 "Europe" 66.67 144 2
1640 "Europe" 62.92 89 4
1639 "Europe" 85.71 35 13
1638 "Europe" 60.75 107 2
1637 "Europe" 56.67 270 5
1637 "Asia" 53.44 582 1
1637 "Oceania" 64.44 90 1
1634 "Europe" 91.01 89 8
1634 "Asia" 54.31 267 3
1634 "North America" 59.43 106 1
1634 "Europe" 72.73 44 3
1633 "Asia" 95.45 22 6
1631 "North America" 60.84 595 2
1631 "Europe" 63.29 79 1
1630 "Asia" 71.11 45 5
1629 "Europe" 64.38 73 3
1628 "Europe" 73.33 45 3
1628 "Europe" 63.22 87 -2
1628 "Asia" 68.35 79 -3
1628 "Europe" 52.79 680 4
1625 "Asia" 54.39 342 3
1625 "Europe" 56.89 225 3
1623 "Europe" 95 20 1
1623 "Asia" 65.43 81 2
1622 "Europe" 53.59 474 1
1622 "South America" 54.65 86 2
1621 "Europe" 85.19 27 6
1620 "Europe" 76.47 34 1
1619 "Europe" 52.04 957 1
1619 "Asia" 63.55 107 3
1619 "Asia" 55.69 334 1
1618 "Europe" 62.28 114 -1
1618 "Europe" 59.76 169 1
1618 "Europe" 70.18 57 4
1617 "Asia" 55.21 192 2
1617 "Oceania" 58.1 179 1
1616 "North America" 55.29 293 -1
1616 "North America" 74.42 43 8
1615 "Europe" 65.42 107 5
1615 "Europe" 62.82 78 1
1614 "Asia" 60 160 1
1613 "Europe" 58.93 224 -1
1613 "North America" 84.85 33 9
1612 "Asia" 60.12 168 1
1612 "Asia" 58.19 177 3
1612 "Asia" 53.14 207 2
1612 "Asia" 54.4 375 2
1612 "Europe" 53.26 353 -1
1611 "Oceania" 66.67 75 2
1610 "Europe" 95.24 21 7
1609 "Asia" 52.66 545 1
1608 "Asia" 88 25 2
1607 "Europe" 88 25 1
1606 "Europe" 58.52 135 -1
1605 "South America" 64.84 91 5
1604 "Europe" 58.26 230 -1
1604 "Asia" 77.78 36 3
1603 "South America" 55.3 396 3
1600 "Asia" 54.55 550 -3
1597 "Europe" 61.54 130 3
1595 "Europe" 71.7 53 2
1595 "Asia" 53.43 481 1
1595 "North America" 59.34 182 2
1595 "Asia" 57.43 148 2
1593 "Europe" 53.2 344 -3
1593 "Europe" 59.44 143 -1
1592 "Europe" 56.21 153 1
1592 "Asia" 67.14 70 3
1592 "Asia" 53.56 351 1
1591 "Europe" 58.11 148 2
1591 "Middle East" 68.52 54 1
1590 "North America" 53.33 225 3
1588 "Asia" 56.71 231 2
1587 "North America" 57.96 245 4
1587 "Europe" 54.64 194 3
1587 "Asia" 56.39 321 3
1587 "Europe" 68 50 3
1586 "North America" 68.75 48 -1
1585 "Europe" 54.62 379 2
1585 "Europe" 90.91 22 -1
1585 "Europe" 54.66 311 -1
1585 "North America" 54.62 260 1
1583 "Europe" 58.93 112 -4
1581 "Europe" 58.64 191 4
1580 "Asia" 64.52 62 3
1580 "Europe" 55.93 236 4
1579 "Europe" 57.44 195 4
1579 "North America" 56.42 257 -1
1579 "Europe" 76.19 42 7
1578 "Asia" 62.6 123 3
1577 "Asia" 64.79 71 2
1577 "South America" 57.98 119 -1
1577 "North America" 73.53 34 1
1577 "Europe" 66.67 51 -3
1577 "North America" 56.62 272 -1
1575 "Europe" 75.76 33 3
1574 "Europe" 59.09 88 3
1574 "Asia" 53.72 309 1
1573 "Europe" 100 17 17
1573 "Asia" 52.85 316 -3
1573 "Europe" 88 25 3
1573 "Europe" 54.31 394 1
1571 "Asia" 62.73 110 1
1571 "Asia" 54.85 237 3
1570 "Europe" 53.88 438 -1
1569 "North America" 53.93 267 4
1568 "Asia" 69.05 84 2
1567 "Europe" 57.36 129 1
1566 "Europe" 54.2 393 1
